"id_provincia","year","value"
34,1969,0
35,1969,2
36,1969,0
26,1969,0
37,1969,0
40,1969,0
41,1969,4
42,1969,0
43,1969,0
38,1969,0
44,1969,1
45,1969,0
46,1969,5
47,1969,0
48,1969,3
49,1969,0
50,1969,0
1,1970,0
2,1970,0
3,1970,1
4,1970,0
33,1970,3
5,1970,0
6,1970,0
7,1970,1
8,1970,4
9,1970,0
10,1970,1
11,1970,4
39,1970,0
12,1970,0
51,1970,0
13,1970,0
14,1970,0
15,1970,0
16,1970,0
17,1970,0
18,1970,10
19,1970,2
20,1970,0
21,1970,10
22,1970,0
23,1970,1
24,1970,0
25,1970,0
27,1970,0
28,1970,1
29,1970,2
52,1970,0
30,1970,0
31,1970,1
32,1970,0
34,1970,0
35,1970,0
36,1970,0
26,1970,0
37,1970,0
40,1970,0
41,1970,7
42,1970,0
43,1970,0
38,1970,0
44,1970,0
45,1970,0
46,1970,6
47,1970,0
48,1970,3
49,1970,0
50,1970,0
1,1971,0
2,1971,0
3,1971,0
4,1971,2
33,1971,1
5,1971,0
6,1971,1
7,1971,3
8,1971,3
9,1971,0
10,1971,0
11,1971,4
39,1971,0
12,1971,0
51,1971,0
13,1971,0
14,1971,4
15,1971,0
16,1971,0
17,1971,0
18,1971,7
19,1971,2
20,1971,0
21,1971,10
22,1971,0
23,1971,0
24,1971,2
25,1971,0
27,1971,0
28,1971,8
29,1971,2
52,1971,0
30,1971,0
31,1971,1
32,1971,0
34,1971,0
35,1971,0
36,1971,0
26,1971,0
37,1971,0
40,1971,0
41,1971,6
42,1971,0
43,1971,0
38,1971,1
44,1971,0
45,1971,0
46,1971,0
47,1971,0
48,1971,1
49,1971,0
50,1971,0
1,1972,0
2,1972,0
3,1972,0
4,1972,2
33,1972,2
5,1972,0
6,1972,0
7,1972,3
8,1972,5
9,1972,0
10,1972,0
11,1972,4
39,1972,0
12,1972,0
51,1972,0
13,1972,0
14,1972,0
15,1972,0
16,1972,0
17,1972,0
18,1972,12
19,1972,3
20,1972,0
21,1972,6
22,1972,0
23,1972,2
24,1972,3
25,1972,0
27,1972,0
28,1972,4
29,1972,2
52,1972,0
30,1972,1
31,1972,8
32,1972,0
34,1972,0
35,1972,0
36,1972,0
26,1972,1
37,1972,1
40,1972,1
41,1972,9
42,1972,0
43,1972,0
38,1972,0
44,1972,0
45,1972,1
46,1972,6
47,1972,0
48,1972,1
49,1972,0
50,1972,3
1,1973,0
2,1973,0
3,1973,0
4,1973,2
33,1973,2
5,1973,0
6,1973,0
7,1973,1
8,1973,5
9,1973,0
10,1973,0
11,1973,0
39,1973,0
12,1973,0
51,1973,0
13,1973,0
14,1973,1
15,1973,1
16,1973,0
17,1973,2
18,1973,3
19,1973,7
20,1973,0
21,1973,7
22,1973,0
23,1973,1
24,1973,2
25,1973,0
27,1973,0
28,1973,3
29,1973,1
52,1973,0
30,1973,0
31,1973,1
32,1973,0
34,1973,0
35,1973,3
36,1973,0
26,1973,0
37,1973,0
40,1973,0
41,1973,9
42,1973,0
43,1973,0
38,1973,2
44,1973,0
45,1973,0
46,1973,6
47,1973,0
48,1973,0
49,1973,0
50,1973,0
1,1974,0
2,1974,0
3,1974,0
4,1974,1
33,1974,0
5,1974,0
6,1974,0
7,1974,2
8,1974,2
9,1974,0
10,1974,0
11,1974,1
39,1974,0
12,1974,0
51,1974,0
13,1974,0
14,1974,5
15,1974,0
16,1974,0
17,1974,0
18,1974,7
19,1974,3
20,1974,0
21,1974,7
22,1974,0
23,1974,0
24,1974,2
25,1974,0
27,1974,0
28,1974,2
29,1974,1
52,1974,0
30,1974,1
31,1974,1
32,1974,0
34,1974,0
35,1974,0
36,1974,0
26,1974,1
37,1974,0
40,1974,0
41,1974,18
42,1974,0
43,1974,0
38,1974,4
44,1974,0
45,1974,0
46,1974,4
47,1974,1
48,1974,1
49,1974,0
50,1974,0
1,1975,0
2,1975,1
3,1975,0
4,1975,0
33,1975,1
5,1975,0
6,1975,0
7,1975,1
8,1975,3
9,1975,0
10,1975,0
11,1975,7
39,1975,1
12,1975,0
51,1975,0
13,1975,0
14,1975,1
15,1975,0
16,1975,0
17,1975,0
18,1975,13
19,1975,0
20,1975,0
21,1975,9
22,1975,0
23,1975,2
24,1975,0
25,1975,0
27,1975,0
28,1975,2
29,1975,3
52,1975,0
30,1975,0
31,1975,5
32,1975,0
34,1975,0
35,1975,0
36,1975,0
26,1975,0
37,1975,1
40,1975,0
41,1975,12
42,1975,0
43,1975,0
38,1975,2
44,1975,0
45,1975,1
46,1975,2
47,1975,0
48,1975,0
49,1975,0
50,1975,1
1,1976,0
2,1976,0
3,1976,0
4,1976,1
33,1976,5
5,1976,0
6,1976,1
7,1976,3
8,1976,5
9,1976,0
10,1976,0
11,1976,6
39,1976,0
12,1976,0
51,1976,1
13,1976,0
14,1976,2
15,1976,0
16,1976,0
17,1976,0
18,1976,6
19,1976,2
20,1976,0
21,1976,4
22,1976,1
